,Fp1_(Theta2+Alpha1),Fp1_(Theta),Fp1_(Alpha),Fp1_(Beta_Global),Fp1_(Beta_Alta),Fp1_(Beta_Baja),Fp1_(Gamma),F3_(Theta2+Alpha1),F3_(Theta),F3_(Alpha),F3_(Beta_Global),F3_(Beta_Alta),F3_(Beta_Baja),F3_(Gamma),C3_(Theta2+Alpha1),C3_(Theta),C3_(Alpha),C3_(Beta_Global),C3_(Beta_Alta),C3_(Beta_Baja),C3_(Gamma),Fz_(Theta2+Alpha1),Fz_(Theta),Fz_(Alpha),Fz_(Beta_Global),Fz_(Beta_Alta),Fz_(Beta_Baja),Fz_(Gamma),Cz_(Theta2+Alpha1),Cz_(Theta),Cz_(Alpha),Cz_(Beta_Global),Cz_(Beta_Alta),Cz_(Beta_Baja),Cz_(Gamma),Fp2_(Theta2+Alpha1),Fp2_(Theta),Fp2_(Alpha),Fp2_(Beta_Global),Fp2_(Beta_Alta),Fp2_(Beta_Baja),Fp2_(Gamma),F4_(Theta2+Alpha1),F4_(Theta),F4_(Alpha),F4_(Beta_Global),F4_(Beta_Alta),F4_(Beta_Baja),F4_(Gamma),C4_(Theta2+Alpha1),C4_(Theta),C4_(Alpha),C4_(Beta_Global),C4_(Beta_Alta),C4_(Beta_Baja),C4_(Gamma),BPR_Fp1,BPR_F3,BPR_C3,BPR_Fz,BPR_Cz,BPR_Fp2,BPR_F4,BPR_C4,PCA_x,PCA_y,cluster
0,3.603942134089745,4.060271876272143,2.0515982681116967,0.41203966914118406,0.18847184944157883,0.4939662528176675,0.16071777435920942,3.512098319549098,3.725556095676138,1.9297155471009415,0.4669299060194156,0.226268231445042,0.5618003602224655,0.20156220513219686,3.3801149101168817,3.576477991923934,2.3266756841146745,0.39194685786872735,0.19978049219713007,0.4592440170185242,0.17661884845601877,3.6239541090515655,4.089208512813514,1.8488561224516158,0.43698149998433516,0.19623073585081882,0.5476752175203041,0.17283159432224882,3.3389919803734736,4.258793604024795,1.9141428962014655,0.3914794757267422,0.17225666602602643,0.4836544620240416,0.15294207407880678,3.534069591162551,3.5341113860560758,1.815272249817177,0.49430725248342927,0.2909644474430674,0.5722885844265891,0.26412579730218055,3.3523878060418624,3.69835838085057,2.0043131581244347,0.47650569527411024,0.2254936545508701,0.5751849609970048,0.1970720395717572,3.370939647835241,3.9136893624443743,2.171061783545992,0.3707782641043864,0.18159341545386226,0.4483995345934804,0.16264641244812733,21.14265566219472,16.52121685209673,18.41138879051921,20.192714483437204,20.73856382683956,12.910780198570968,15.91964727320607,19.6889817193491,-5.245191144408602,-1.14803856386131,1
159,4.900575877096799,4.912891861324261,1.8979102787345723,0.22982742559509078,0.1154629745805534,0.2787266814915475,0.10714307148843287,4.846871353666987,5.000574191848307,1.944596462695297,0.2154054742040186,0.08688088717000968,0.275920641413036,0.07754163285534343,5.156366715524188,4.826548382766005,2.0240801270589803,0.2048593210172921,0.06567111894798643,0.2792537585277154,0.05777810776087769,4.712266608329289,5.102406692556015,1.8255226256207204,0.22192911809536273,0.0870532217650621,0.28831058405215665,0.07740835427903164,5.54772779111959,4.753159794771696,2.1561259688030425,0.16429957281163185,0.05747101365102641,0.22075344474639158,0.05278605578387269,3.7494869776910136,5.1646884830705355,1.7065900745942606,0.2922082730352402,0.117433012392851,0.3540780261922025,0.10322694543406667,4.484007906799403,4.820020646271865,1.7663969999336753,0.28600917661235425,0.12268137174110962,0.3583365754513668,0.11327334348523121,6.081612881048712,3.759394020152705,2.798316198245769,0.16162603797199918,0.051434503593593466,0.22024240013927968,0.04628556540784448,44.365866088524726,58.81669223487063,80.80467702873865,57.56205301054704,107.53572475953983,34.0979455745305,37.473192096260995,122.64702985739667,-17.2076813021116,-4.440072048945055,1
160,3.8839532120528655,3.9090022974257685,1.9379330213411898,0.4192844536552544,0.20238947348020875,0.47357747566749536,0.1770155516432553,3.9737908584187007,3.5063992382559075,2.111580041647783,0.4129900539729028,0.15120268234486253,0.5357780422584655,0.1341529297403526,4.8308018021349675,3.0849336568141017,3.3428910176415028,0.2224097060642556,0.08795222041214937,0.2563148984966448,0.07426806109309796,4.7489777275947045,4.233884372424538,2.1503217979281186,0.2700519816187495,0.11568972689132279,0.29762402192708637,0.09831839926238795,5.082107562214627,3.391766487358398,3.0889261847827614,0.210920280853652,0.08124969633098776,0.25598268747087977,0.06824408551620323,4.4595713922924745,4.065097461498983,2.008905428813698,0.3467786545571785,0.15362393664911644,0.39090584306544723,0.13232033287789785,3.7911461908036204,3.8938834220781002,2.046086084937626,0.42770950871186086,0.17427269761351308,0.5076007009525543,0.14618641248854197,4.650881458550117,3.0106843462090693,3.312912007582603,0.24800689739736395,0.0935921725394716,0.29360447789753114,0.07963504008309832,21.040040003910235,29.682500429424906,60.61199330332144,45.86962589558261,66.48455321117203,32.51720870005351,23.084002109649635,54.52068292437949,-12.140045007206842,0.08962850388450086,1
161,3.460541820148157,3.6194105786940463,2.000236957001719,0.4863576043531344,0.2574386171376534,0.5888593645806379,0.23917304147409585,3.2136297573831945,3.3603676653913785,2.057668472523752,0.5064665213815951,0.2745231215739984,0.6119365124540478,0.2554808343689261,3.1698083260695396,3.226063726368813,2.2140134968591227,0.5393513158508215,0.23378409614338336,0.6829030602120095,0.2158649982758902,3.3198396446373937,3.8346387943912266,1.9267187049462908,0.5122769558298375,0.20166951107159686,0.6600480496454948,0.18529200074344174,3.0080269727182394,3.58709147466251,1.867118594050478,0.5676898843766611,0.22306665617642654,0.7510040897783289,0.20737508257603463,3.4925836032826916,3.5548499083394027,2.0080008738090123,0.49725648809034073,0.26951562257415773,0.5895096383493893,0.25650992293822367,3.2186299689337297,3.813908829354044,1.8235318025166454,0.5565576422243228,0.22412047196177426,0.7159313206474939,0.2043146252920658,2.9951796775341037,3.580385381282251,1.8577118178020922,0.5738864052576118,0.224104864887887,0.759226970626896,0.2074235363083886,14.383987983776692,12.418235702743328,14.4531220819734,17.96368813280718,14.607315872185527,13.82467986412373,15.985777607185476,14.443035435054863,-2.430052759512388,-0.13595991813023606,1
165,2.5638932432369086,3.038959782145496,2.076932894172983,0.5286493762580399,0.3911619276741301,0.5278028702712146,0.3689158446319439,3.2269755080047835,3.1894649118376703,2.611698948593911,0.4719978998458577,0.24519781645660313,0.49850141019106287,0.2116999584814676,2.9784665426288877,3.973039537796995,2.3760303253664925,0.366503541006683,0.17663603782572357,0.40397716672926265,0.14935437805214313,3.212505602872298,3.0178812801960917,2.733582480211663,0.47824325478394225,0.2541411306277481,0.5003761936595453,0.21804579173676258,3.229386159402008,3.867677100787775,2.4397740691735192,0.3647699389952426,0.17390760076708145,0.3991076425416878,0.14954366067047348,2.6313061663265507,3.0739164194297977,2.1601092351643323,0.5233417808780804,0.38335194059810346,0.5329482004680288,0.3513272955452536,3.0640789421087393,3.1991974573663464,2.463869943040751,0.5069629130306448,0.2625469528596938,0.5437494663288454,0.22620446568649374,2.608895792322557,3.5985113141137193,2.5154534761528984,0.42784359141904904,0.21663431740919337,0.43654002092189925,0.1860913115844552,6.773880289348544,13.902050438173621,19.243904359638705,13.690979390982559,19.789907695609145,7.016816406982636,12.595983666883575,12.831567857026158,-3.48432676932734,1.2404715474985386,1
168,4.021095449985796,2.1791791348925464,2.72240539269501,0.46146268468177937,0.38274913620924667,0.5238922640757971,0.3654815404578748,4.276971539477792,2.1690482025655187,3.045852015510281,0.45075083657889525,0.3034790226691415,0.504730295885891,0.28164899842100405,4.983832920850264,1.7863737190174946,3.667601182827733,0.4097354048919151,0.23137754050421142,0.4554466035740841,0.2157040303417838,4.105121376517575,2.606388187689881,2.9204409926388997,0.39856594801969014,0.287855422578176,0.4452531956714847,0.26720226263789426,4.504591009648109,2.4892019524253737,3.1477799214621998,0.3603352822721367,0.24945839676177342,0.40770148097074743,0.24162860056090363,3.8624784873150744,2.269653016280374,2.694136930929924,0.4994501014845978,0.39159080536321356,0.4984235084259282,0.3640962124176183,4.071496113080458,2.5031119506804815,2.8148442742692725,0.4180507693214969,0.32352981765526134,0.4374212975962265,0.30295490339967746,4.912869175972804,1.7948683612290937,3.554779104507859,0.3496040571136641,0.26533001803659484,0.3967410156911169,0.255401355270988,11.374098097630204,16.217473477319242,24.959292705527695,15.54567122676496,19.248505151674067,10.619725038743827,13.192964229976674,20.538663240293467,-5.759093775175977,6.061632175890689,1
171,2.6398655403815807,2.268794594799937,3.2576263577299427,0.4840387913451492,0.17953435987580396,0.615447973689805,0.1577646179724356,2.727664488660807,2.4650687191212333,3.2377226385530395,0.4478429770054148,0.13623662988476182,0.5952443358884532,0.11934535781773842,2.8958290969472507,2.9776416919575204,2.5826475459390785,0.4491610494880084,0.21325484732357006,0.559614037665532,0.19944498880664188,1.549884251542259,2.127273574022046,1.2416279687575813,0.8987285020586622,0.6658135674315864,0.9119403830435404,0.6295394683332736,2.607833371713655,2.1378545831438194,3.40463745872601,0.5351095170234389,0.13309667243692005,0.751191467817131,0.1165886813403984,3.018781234055709,2.6740636373426225,3.153524378929709,0.4210805367592356,0.1342459127248972,0.5473133188433897,0.12186779045402496,1.5454016227888472,2.0958169928553687,1.2144310547612676,0.9172223503926489,0.6863409408823853,0.92815321450537,0.641905780109662,3.900532548523547,2.5640729133043987,3.0821259295097163,0.3690963366834676,0.10962880851711082,0.5051652336486367,0.10010024936059429,15.263361969219998,21.209472318450295,15.441435372792345,2.403396850781779,21.052807043098948,23.84989617725074,2.286133347261468,38.510126262173905,-1.158307980499888,5.31209012008982,1
172,5.1851632063538675,2.8426938583025865,3.1056060004241113,0.31616131764439415,0.17058541129374974,0.35065376381276303,0.15684554005355625,5.138111777574584,2.5746438377868617,3.1955789006190303,0.34632831311834483,0.18559088237016488,0.39032070035158656,0.16669206242929477,4.911813661938927,2.7854521359857425,2.9057059423267146,0.35341493050150813,0.20011412097888742,0.3978597678465421,0.18085953097794882,5.081982286390854,2.927894006082674,3.0396313604186296,0.314991123443697,0.19104687760587288,0.33848311707530426,0.17399919170971775,5.1759030545498526,2.942395789603223,2.78714821781684,0.32472981206126594,0.19010795706096978,0.3567532854837587,0.17183877059645686,4.895493633661151,2.918494158122299,2.926072081120258,0.3286274541363308,0.20222297662256994,0.36487270408989164,0.18535026777694222,4.8224439704538264,2.5740263290014744,3.154170592439524,0.3779034059109667,0.21592007103837538,0.40686429612160857,0.19390668509608439,4.9662664419012605,2.8166854009625957,2.803467420034598,0.3473851706275199,0.19038798669273094,0.39878414465412537,0.1752780732462937,35.21891801062661,33.44522240822082,32.37676354161469,35.165357822369934,36.94832783170059,31.75724228267565,29.523558639318424,32.76989237711756,-11.621619218307016,3.9489724772192636,1
174,2.962113501294985,2.5864249165484927,2.371987189580525,0.613521285777781,0.33649377873143904,0.6947470430404703,0.31345330571548763,2.0571441736182514,2.5018611059276,1.458505733365371,0.7557643079345966,0.5823420566333725,0.7756568782521416,0.5513143595843959,3.6607320201882807,2.6911698132139303,2.9623514196932725,0.4706678507263786,0.20558744864033493,0.5722040944971285,0.18196468183499748,3.7483339424309206,3.0293111029718065,2.690763191874477,0.47247560739925737,0.2120799916091402,0.5604158982002624,0.1842417647553747,3.9161479691830694,2.646614988484457,3.1497576083716887,0.43894920657090924,0.1776887943584172,0.5461498444372581,0.15723379447868566,2.5838828704491967,2.4537106577476475,2.037172783406963,0.6251717053265086,0.44166125172591886,0.666866217358568,0.4323621721447903,1.5498679764823842,1.9592699001791383,1.2431234374775766,0.9043613059948182,0.7063799865435372,0.9157410536902235,0.6721436942963461,3.7481526748436935,2.4147085252945946,3.2077712362325457,0.4722388095640029,0.19056870958584726,0.5957171560098415,0.1696161189604225,9.178830259669315,3.6651366963357157,18.882965335815502,18.403248205791797,22.993050284020498,6.275371169203351,2.2670054941796227,21.06325649576463,0.14998340508202646,3.7534018952414208,1
175,2.020807014143827,2.035645032419582,2.2430042696650188,0.6252232089452069,0.548072701890715,0.5683098580230928,0.5197115650078166,2.3447829808243554,2.522631807713345,2.8370401207015803,0.5113801939331376,0.30377081274648193,0.5640522723810883,0.2731134586661261,2.2639521144543275,2.216388513135818,3.9403018177278635,0.32827634252832194,0.19050034605249186,0.3562829938621466,0.1649860948283011,2.2820987810446476,2.739530344069535,2.7824950285001635,0.4801412983876571,0.28513594964806543,0.5222780923724046,0.2623705987787749,2.41555731267142,2.3012983526717066,3.7139381564286382,0.34429494215265916,0.1980150951866341,0.3839767479071805,0.1768748566160875,2.1235659166781873,2.3114805244543954,2.2088188163219793,0.6066404308475112,0.48156027954572467,0.5965937561755004,0.458041082757345,2.1914826523065645,2.6145341509321463,2.6463414930112483,0.5202333811384187,0.33442381354236733,0.5525419372724655,0.3062290610235147,2.2353570682165693,1.7359022604740066,4.2970207191880245,0.32454192590921777,0.18850550937302651,0.34513491390474393,0.16751426207587508,3.9049933586204792,8.72360817968949,13.364858055350975,9.430782583070151,14.055642459772557,4.798785776049799,7.8660809114490124,14.183349804719624,-1.6006370181118077,5.794020385873605,1
